PSRJ;RAJ;DECJ;DM;P0;S400;
J1813+4013;18:13:13.2;+40:13:39;41.56;0.931089;8.00;
J1825+0004;18:25:15.3;+00:04:20;56.62;0.778949;8.00;
J1851+1259;18:51:13.2;+12:59:35;70.63;1.205303;8.00;
J1854-1421;18:54:44.2;-14:21:26;130.40;1.146595;8.00;
J1926+1648;19:26:45.3;+16:48:33;176.88;0.579823;8.00;
J2005-0020;20:05:43.7;-00:20:22;35.93;2.279661;8.00;
J2325+6316;23:25:13.3;+63:16:52.3;197.37;1.436310;8.00;
J1844-0433;18:44:33.4;-04:33:12;123.16;0.991027;8.10;
J1923+4243;19:23:15.2;+42:43:19;52.99;0.595193;8.10;
J0538+2817;05:38:25.0;+28:17:09.1;39.57;0.143158;8.20;
J0758-1528;07:58:29.0;-15:28:08.7;63.33;0.682265;8.20;
J1756-2435;17:56:57.9;-24:35:34;367.10;0.670480;8.40;
J0102+6537;01:02:32.9;+65:37:13.4;65.85;1.679164;8.50;
J0952-3839;09:52:17.2;-38:39:10.2;167.00;1.373815;8.50;
J1514-4834;15:14:14.5;-48:34:19.5;51.50;0.454839;8.50;
J0944+4106;09:44:18.1;+41:06:05;21.41;2.229431;8.60;
J2105+28;21:06;+28:29;62.40;0.405737;8.60;
J1758+3030;17:58:25.8;+30:30:24.0;35.07;0.947256;8.90;
J0108-1431;01:08:08.3;-14:31:50.1;2.38;0.807565;9.00;
J0134-2937;01:34:18.6;-29:37:17.0;21.81;0.136962;9.00;
J1036-4926;10:36:13.1;-49:26:21.2;136.52;0.510369;9.00;
J1126-6942;11:26:21.6;-69:42:15.3;55.33;0.579416;9.00;
J1332-3032;13:32:52.4;-30:32:17;15.10;0.650434;9.00;
J1340-6456;13:40:00.3;-64:56:42.9;76.99;0.378622;9.00;
J1350-5115;13:50:16.1;-51:15:24.7;90.39;0.295699;9.00;
J1420-5416;14:20:29.0;-54:16:22.5;129.60;0.935772;9.00;
J1455-3330;14:55:47.9;-33:30:46.3;13.57;0.007987;9.00;
J1651-1709;16:51:31.7;-17:09:22;33.46;0.973394;9.00;
J1654-2713;16:54:23.6;-27:13:02;92.31;0.791822;9.00;
J1711-5350;17:11:53.1;-53:50:16;106.10;0.899218;9.00;
J1732-4128;17:32:50.0;-41:28:48;195.30;0.627981;9.00;
J1926+1434;19:26:57.2;+14:34:55;211.41;1.324922;9.00;
J1932-3655;19:32:06.1;-36:55:02.1;59.88;0.571420;9.00;
J2055+2209;20:55:39.1;+22:09:27;36.35;0.815181;9.00;
J2116+1414;21:16:13.7;+14:14:21.0;56.20;0.440153;9.00;
J1635+2418;16:35:25.7;+24:18:47;24.27;0.490507;9.10;
J1941+4320;19:41:58.9;+43:20:06.3;79.36;0.840906;9.10;
J0613-0200;06:13:43.9;-02:00:47.2;38.78;0.003062;9.20;
J1652-2404;16:52:58.5;-24:03:51;68.41;1.703739;9.20;
J1730-3350;17:30:32.5;-33:50:39;261.29;0.139460;9.20;
J1946-2913;19:46:51.7;-29:13:47.1;44.31;0.959448;9.30;
J1832-0827;18:32:37.0;-08:27:03.7;300.87;0.647326;9.40;
J0621+1002;06:21:22.1;+10:02:38.7;36.47;0.028854;9.50;
J1614+0737;16:14:40.9;+07:37:31;21.39;1.206801;9.60;
J1905-0056;19:05:27.7;-00:56:40.8;229.13;0.643183;9.80;
J0108+6608;01:08:22.5;+66:08:34.4;30.55;1.283660;10.00;
J0711-6830;07:11:54.1;-68:30:47.4;18.41;0.005491;10.00;
J0751+1807;07:51:09.1;+18:07:38.4;30.25;0.003479;10.00;
J1141-3107;11:41:25.6;-31:07:52.6;30.77;0.538432;10.00;
J1335-3642;13:35:36;-36:42;41.70;0.399192;10.00;
J1402-50;14:02:56.0;-50:21:43;51.00;1.380182;10.00;
J1604-7203;16:04:29.1;-72:03:30.4;54.37;0.341403;10.00;
J1748-2021A;17:48:52.6;-20:21:39.7;219.40;0.288603;10.00;
J1837-0045;18:37:32.1;-00:45:11;86.98;0.617037;10.00;
J2337+6151;23:37:05.7;+61:51:01.5;58.41;0.495370;10.00;
J0407+1607;04:07:54.9;+16:07:16.4;35.65;0.025702;10.20;
J1059+6459;10:59:27.5;+64:59:32;18.50;3.631170;10.40;
J0335+6623;03:35:57.0;+66:23:24;66.73;1.761934;10.50;
J0502+4654;05:02:04.5;+46:54:06.0;41.83;0.638565;10.80;
J0206-4028;02:06:01.2;-40:28:03.6;12.90;0.630551;11.00;
J0450-1248;04:50:08.7;-12:48:07.1;37.04;0.438014;11.00;
J0459-0210;04:59:51.9;-02:10:07;21.02;1.133076;11.00;
J0856-6137;08:56:59.3;-61:37:53.3;95.00;0.962509;11.00;
J0904-7459;09:04:10.8;-74:59:42.8;51.10;0.549553;11.00;
J0941-5244;09:41:41.1;-52:44:04.4;157.94;0.658558;11.00;
J1123-6259;11:23:55.5;-62:59:10.9;223.26;0.271436;11.00;
J1225-6408;12:25:42.8;-64:08:43;415.10;0.419618;11.00;
J1321+8323;13:21:45.6;+83:23:39.4;13.32;0.670037;11.00;
J1328-4921;13:28:33.5;-49:21:33.4;118.00;1.478721;11.00;
J1527-3931;15:27:58.7;-39:31:36.6;49.00;2.417605;11.00;
J1648-3256;16:48:06.0;-32:56:40.8;128.28;0.719455;11.00;
J1703-1846;17:03:51.0;-18:46:14.8;49.55;0.804341;11.00;
J1728-0007;17:28:34.8;-00:07:45;41.09;0.386004;11.00;
J1732-1930;17:32:20.0;-19:30:09;72.43;0.483770;11.00;
J1823-1115;18:23:40.3;-11:15:11;428.59;0.279829;11.00;
J1854+1050;18:54:29.3;+10:46:42;207.20;0.573197;11.00;
J1901-0906;19:01:53.0;-09:06:11.1;72.68;1.781928;11.00;
J2248-0101;22:48:26.8;-01:01:48.0;29.05;0.477233;11.00;
J2346-0609;23:46:50.4;-06:09:59.8;22.50;1.181463;11.00;
J0729-1836;07:29:32.3;-18:36:42.2;61.29;0.510160;11.20;
J1652+2651;16:52:03.0;+26:51:40.4;40.80;0.915803;11.30;
J2302+4442;23:02:46.9;+44:42:22.0;13.73;0.005192;11.30;
J2046+1540;20:46:39.3;+15:40:33.5;39.82;1.138286;11.50;
J0357+5236;03:57:44.8;+52:36:57.4;103.71;0.197030;12.00;
J0857-4424;08:57:55.8;-44:24:10.6;184.43;0.326786;12.00;
J0905-5127;09:05:51.9;-51:27:54.0;196.43;0.346301;12.00;
J0924-5302;09:24:08.6;-53:02:44.2;152.90;0.746295;12.00;
J1115+5030;11:15:38.4;+50:30:12.2;9.19;1.656440;12.00;
J1257-1027;12:57:04.7;-10:27:05.5;29.63;0.617308;12.00;
J1355-5153;13:55:58.6;-51:53:54.0;112.10;0.644305;12.00;
J1356-5521;13:56:50.5;-55:21:12.9;174.17;0.507380;12.00;
J1614-3937;16:14:31.2;-39:37:28.8;152.44;0.407292;12.00;
J1615-5537;16:15:40.4;-55:37:00.5;124.48;0.791526;12.00;
J1651-5255;16:51:41.2;-52:55:48;164.00;0.890534;12.00;
J1810-5338;18:10:44.4;-53:38:07.7;45.00;0.261049;12.00;
J1817-3837;18:17:00.2;-38:37:59.7;102.85;0.384487;12.00;
J1852-2610;18:52:59.4;-26:10:13;56.81;0.336337;12.00;
J1909+0007;19:09:35.2;+00:07:58;112.79;1.016948;12.00;
J1916+1312;19:16:58.6;+13:12:50;237.01;0.281842;12.00;
J2155-3118;21:55:13.6;-31:18:55;14.85;1.030002;12.00;
J2302+6028;23:02:11.2;+60:28:00.2;156.70;1.206404;12.00;
J1749-3002;17:49:13.4;-30:02:35;509.40;0.609874;12.70;
J1943-1237;19:43:25.4;-12:37:42;28.92;0.972429;12.90;
J0905-4536;09:05:23.9;-45:36:53.0;179.70;0.988281;13.00;
J0942-5657;09:42:54.4;-56:57:43.2;159.74;0.808164;13.00;
J1112-6926;11:12:51.0;-69:26:31.0;148.40;0.820484;13.00;
J1507-6640;15:07:48.6;-66:40:57.8;129.80;0.355656;13.00;
J1532+2745;15:32:10.3;+27:45:49.6;14.69;1.124836;13.00;
J1553-5456;15:53:59.6;-54:56:06;210.00;1.081328;13.00;
J1650-1654;16:50:27.1;-16:54:42.2;43.25;1.749552;13.00;
J1720-1633;17:20:25.2;-16:33:34;44.83;1.565601;13.00;
J1759-2922;17:59:48.2;-29:22:07;79.42;0.574400;13.00;
J1823-0154;18:23:52.1;-01:54:05;135.87;0.759777;13.00;
J1848-1414;18:48:39.1;-14:14:17;134.47;0.297770;13.00;
J1941-2602;19:41:00.4;-26:02:05.7;50.04;0.402858;13.00;
J2229+2643;22:29:50.8;+26:43:57.6;22.73;0.002978;13.00;
J0111+6624;01:11:21.8;+66:24:11;111.20;4.301872;13.60;
J1901+0156;19:01:34.2;+01:56:38;105.39;0.288219;13.70;
J0014+4746;00:14:17.7;+47:46:33.4;30.41;1.240699;14.00;
J1032-5911;10:32:07;-59:10;418.20;0.464208;14.00;
J1042-5521;10:42:00.4;-55:21:06.2;306.50;1.170867;14.00;
J1137-6700;11:37:32.0;-67:00:33.0;228.04;0.556216;14.00;
J1510-4422;15:10:48.9;-44:22:07;84.00;0.943871;14.00;
J2129-5721;21:29:22.7;-57:21:14.2;31.85;0.003726;14.00;
J1710+4923;17:10:04.4;+49:23:11.4;7.08;0.003220;14.10;
J2027+4557;20:27:16.2;+45:57:57.0;229.59;1.099651;14.20;
J0215+6218;02:15:56.6;+62:18:33;84.00;0.548880;14.50;
J2004+3137;20:04:52.2;+31:37:10;234.82;2.111265;14.50;
J0406+6138;04:06:30.0;+61:38:41.4;65.41;0.594576;15.00;
J1012-5857;10:12:48.4;-58:57:48.7;383.90;0.819926;15.00;
J1017-5621;10:17:12.8;-56:21:30.5;438.70;0.503463;15.00;
J1045-4509;10:45:50.1;-45:09:54.1;58.14;0.007474;15.00;
J1312-5402;13:12:04.7;-54:02:42.6;133.00;0.728154;15.00;
J1559-5545;15:59:21.3;-55:45:40;212.90;0.957242;15.00;
J1603-2531;16:03:04.8;-25:31:47;53.76;0.283070;15.00;
J1623-2631;16:23:38.2;-26:31:53.7;62.86;0.011076;15.00;
J1637-4553;16:37:58.6;-45:53:26.8;193.23;0.118773;15.00;
J1639-4604;16:39:21.2;-46:04:33.1;258.91;0.264558;15.00;
J1717-4054;17:17:52.3;-41:03:17.8;306.90;0.887719;15.00;
J1804-2717;18:04:21.1;-27:17:31.3;24.67;0.009343;15.00;
J1902+0556;19:02:42.6;+05:56:26;177.49;0.746577;15.00;
J1911-1114;19:11:49.2;-11:14:22.4;31.02;0.003626;15.00;
J1955+2908;19:55:27.8;+29:08:43.4;104.52;0.006133;15.00;
J2043+2740;20:43:43.5;+27:40:56;21.02;0.096131;15.00;
J2317+2149;23:17:57.8;+21:49:48.0;20.87;1.444653;15.00;
J2150+5247;21:50:37.7;+52:47:49.5;148.93;0.332206;15.60;
J0612+3721;06:12:48.6;+37:21:37;27.15;0.297982;16.00;
J0828-3417;08:28:16.6;-34:17:07;52.20;1.848919;16.00;
J0846-3533;08:46:06.0;-35:33:41.2;94.16;1.116098;16.00;
J0908-1739;09:08:38.1;-17:39:37.6;15.88;0.401626;16.00;
J0959-4809;09:59:26.2;-48:09:47.5;92.70;0.670086;16.00;
J1312-5516;13:12:53.5;-55:16:48.0;134.10;0.849243;16.00;
J1507-4352;15:07:34.1;-43:52:03.8;48.70;0.286758;16.00;
J1610-1322;16:10:42.7;-13:22:22;49.13;1.018393;16.00;
J1622-4332;16:22:45.4;-43:32:28.2;230.68;0.916938;16.00;
J1744-2335;17:44:48.4;-23:35:55;96.66;1.683507;16.00;
J1823-3021A;18:23:40.4;-30:21:40.1;86.88;0.005440;16.00;
J1904+0004;19:04:12.7;+00:04:05.2;233.61;0.139525;16.00;
J1919+0021;19:19:50.6;+00:21:39.7;90.31;1.272260;16.00;
J2144-3933;21:44:12.0;-39:33:56.8;3.35;8.509827;16.00;
J0255-5304;02:55:56.2;-53:04:21.2;15.90;0.447708;17.00;
J1146-6030;11:46:07.7;-60:30:59.4;111.68;0.273375;17.00;
J1527-5552;15:27:40.7;-55:52:08.3;362.70;1.048719;17.00;
J1549-4848;15:49:21.0;-48:48:35.5;55.98;0.288355;17.00;
J1613-4714;16:13:28.9;-47:14:26.9;161.20;0.382377;17.00;
J1625-4048;16:25:10.3;-40:48:21.5;145.00;2.355278;17.00;
J1801-0357;18:01:22.6;-03:57:55;120.37;0.921491;17.00;
J1848-1952;18:48:18.0;-19:52:31;18.23;4.308190;17.00;
J2124-3358;21:24:43.8;-33:58:44.8;4.60;0.004931;17.00;
J2229+6205;22:29:41.8;+62:05:36;124.64;0.443055;17.00;
J2326+6113;23:26:58.6;+61:13:36.5;122.61;0.233652;17.00;
J2354+6155;23:54:04.7;+61:55:46.8;94.66;0.944784;17.00;
J1125+7819;11:25:59.8;+78:19:48.7;11.73;0.004202;17.10;
J0934-5249;09:34:28.2;-52:49:27.4;100.00;1.444777;18.00;
J1046-5813;10:46:18.8;-58:13:52.0;240.20;0.369428;18.00;
J1320-5359;13:20:53.9;-53:59:05.0;97.10;0.279738;18.00;
J1326-6408;13:26:32.4;-64:08:43.8;502.70;0.792674;18.00;
J1328-4357;13:28:06.4;-43:57:44.1;42.00;0.532699;18.00;
J1334-5839;13:34:30.1;-58:39:16.5;119.30;0.107718;18.00;
J1735-0724;17:35:04.9;-07:24:52.1;73.51;0.419335;18.00;
J1744-1134;17:44:29.4;-11:34:54.6;3.14;0.004075;18.00;
J1816-2650;18:16:35.4;-26:49:53;128.12;0.592885;18.00;
J1823+0550;18:23:30.9;+05:50:24.3;66.78;0.752907;18.00;
J2029+3744;20:29:23.8;+37:44:08;190.66;1.216805;18.00;
J2113+2754;21:13:04.3;+27:54:01.1;25.11;1.202852;18.00;
J1842-0359;18:42:26.4;-03:59:60;195.98;1.839944;18.70;
J0401-7608;04:01:51.7;-76:08:13.0;21.70;0.545254;19.00;
J0840-5332;08:40:33.7;-53:32:35.9;156.50;0.720614;19.00;
J1059-5742;10:59:00.8;-57:42:14.5;108.70;1.185003;19.00;
J1112-6613;11:12:38.5;-66:13:04.8;249.30;0.334213;19.00;
J1555-3134;15:55:17.9;-31:34:20.1;73.05;0.518110;19.00;
J2308+5547;23:08:13.8;+55:47:36.0;46.54;0.475068;19.00;
J2317+1439;23:17:09.2;+14:39:31.2;21.88;0.003445;19.00;
J0525+1115;05:25:56.4;+11:15:19.0;79.42;0.354438;19.50;
J0152-1637;01:52:10.8;-16:37:53.6;11.93;0.832742;20.00;
J1253-5820;12:53:28.3;-58:20:40.8;100.58;0.255496;20.00;
J1300+1240;13:00:03.5;+12:40:56.4;10.17;0.006219;20.00;
J1600-5751;16:00:19.9;-57:51:15.3;176.55;0.194456;20.00;
J1603-2712;16:03:08.0;-27:13:28;46.20;0.778313;20.00;
J1757-2421;17:57:29.3;-24:22:07;179.45;0.234106;20.00;
J1759-2205;17:59:24.1;-22:05:33;177.16;0.460974;20.00;
J1810+1744;18:10:37.2;+17:44:37.3;39.70;0.001660;20.00;
J1841+0912;18:41:55.9;+09:12:07;49.16;0.381319;20.00;
J1844+1454;18:44:54.8;+14:54:14.1;41.49;0.375463;20.00;
J1916+0951;19:16:32.3;+09:51:26;60.95;0.270254;20.00;
J1959+2048;19:59:36.7;+20:48:15.1;29.12;0.001607;20.00;
J2006-0807;20:06:16.3;-08:07:02.1;32.39;0.580871;20.00;
J2046-0421;20:46:00.1;-04:21:26.2;35.80;1.546938;20.00;
J2001+4258;20:01:10.5;+42:58:06;54.93;0.719166;20.20;
J1440-6344;14:40:31.2;-63:44:48.4;124.20;0.459607;21.00;
J1542-5034;15:42:45.4;-50:34:01.4;91.00;0.599245;21.00;
J1603-7202;16:03:35.6;-72:02:32.7;38.05;0.014842;21.00;
J1700-3312;17:00:52.9;-33:12:47;166.97;1.358307;21.00;
J1809-3547;18:09:26.9;-35:47:18;193.84;0.860388;21.00;
J1840+5640;18:40:44.5;+56:40:54.8;26.77;1.652862;21.00;
J1909+0254;19:09:38.3;+02:54:51;171.73;0.989831;21.00;
J1910+0358;19:10:09.0;+03:58:28;82.93;2.330263;21.00;
J2222+5602;22:22;+56;168.00;1.336000;21.10;
J0924-5814;09:24:30.8;-58:14:05.1;57.40;0.739505;22.00;
J1703-4851;17:03:54.5;-48:52:01.0;150.29;1.396405;22.00;
J1720-0212;17:20:57.2;-02:12:23.9;66.98;0.477715;22.00;
J1817-3618;18:17:05.8;-36:18:04.6;94.30;0.387019;22.00;
J1902+0615;19:02:50.2;+06:16:33.4;502.90;0.673503;22.00;
J1926+0431;19:26:24.4;+04:31:32;102.24;1.074078;22.00;
J2225+6535;22:25:52.8;+65:35:36.3;36.44;0.682542;22.00;
J0601-0527;06:01:58.9;-05:27:50.8;80.54;0.395969;22.70;
J0745-5353;07:45:04.4;-53:53:09.5;121.38;0.214839;23.00;
J1136-5525;11:36:02.1;-55:25:06.9;85.50;0.364713;23.00;
J1202-5820;12:02:28.3;-58:20:33.6;145.41;0.452803;23.00;
J1210-5559;12:10:05.9;-55:59:03.8;174.35;0.279768;23.00;
J1544-5308;15:44:59.8;-53:08:46.9;35.16;0.178554;23.00;
J1646-6831;16:46:54.8;-68:31:51;43.00;1.785611;23.00;
J1651-5222;16:51:42.9;-52:22:58.6;179.10;0.635058;23.00;
J1704-6016;17:04:14.8;-60:16:54;54.00;0.306323;23.00;
J1748-1300;17:48:17.4;-13:00:52;99.36;0.394133;23.00;
J1803-2137;18:03:51.4;-21:37:07.3;233.99;0.133667;23.00;
J1903-0632;19:03:37.9;-06:32:22;195.61;0.431887;23.00;
J1907+4002;19:07:34.6;+40:02:05.7;30.97;1.235757;23.00;
J1915+1009;19:15:29.9;+10:09:43.3;241.69;0.404552;23.00;
J1800+5034;18:00:44.3;+50:34:22;22.71;0.578375;23.50;
J0034-0534;00:34:21.8;-05:34:36.7;13.77;0.001877;24.00;
J1121-5444;11:21:19.0;-54:44:05.1;204.70;0.535787;24.00;
J1418-3921;14:18:50.2;-39:21:18.5;60.49;1.096806;24.00;
J1623-4256;16:23:48.3;-42:56:52;295.00;0.364590;24.00;
J1740+1311;17:40:07.3;+13:11:56.6;48.67;0.803050;24.00;
J2305+3100;23:05:58.3;+31:00:01.2;49.58;1.575886;24.00;
J1740-3015;17:40:33.8;-30:15:43.5;151.96;0.606887;24.60;
J1709-4429;17:09:42.7;-44:29:08.2;75.68;0.102459;25.00;
J1722-3712;17:22:59.2;-37:12:04.5;99.49;0.236180;25.00;
J1733-2228;17:33:26.4;-22:28:37;41.14;0.871683;25.00;
J1807-2715;18:07:08.4;-27:15:03;312.98;0.827776;25.00;
J1822-2256;18:22:58.9;-22:56:31;121.20;1.874269;25.00;
J0944-1354;09:44:28.9;-13:54:41.6;12.50;0.570264;26.00;
J1116-4122;11:16:43.0;-41:22:43.9;40.53;0.943158;26.00;
J1849-0636;18:49:06.4;-06:37:07;148.17;1.451319;26.00;
J1955+5059;19:55:18.7;+50:59:55.2;31.98;0.518938;26.00;
J2013+3845;20:13:10.3;+38:45:43.3;238.22;0.230194;26.00;
J2108+4441;21:08:20.4;+44:41:48.8;139.83;0.414871;26.00;
J0325+6744;03:25:05.1;+67:44:59;65.28;1.364679;26.30;
J2352+65;23:52;+65;152.00;1.164000;26.50;
J0304+1932;03:04:33.1;+19:32:51.4;15.66;1.387584;27.00;
J1910-0309;19:10:29.6;-03:09:53.8;205.53;0.504606;27.00;
J0139+5814;01:39:19.7;+58:14:31.8;73.81;0.272451;28.00;
J0908-4913;09:08:35.4;-49:13:05.0;180.37;0.106769;28.00;
J1041-1942;10:41:36.1;-19:42:13.6;33.78;1.386368;28.00;
J1326-6700;13:26:02.7;-67:00:49.2;209.60;0.543015;28.00;
J1808-0813;18:08:09.4;-08:13:02;151.27;0.876044;28.00;
J2055+3630;20:55:31.3;+36:30:21.4;97.42;0.221508;28.00;
J0543+2329;05:43:11.0;+23:16:40.1;77.70;0.245984;29.00;
J0614+2229;06:14:17.0;+22:29:56.8;96.91;0.334960;29.00;
J0955-5304;09:55:29.4;-53:04:16.5;156.90;0.862122;29.00;
J1246+2253;12:46:49.3;+22:53:43.2;17.79;0.473871;29.00;
J1305-6455;13:05:23.3;-64:55:28.3;505.00;0.571652;29.00;
J1705-1906;17:05:36.0;-19:06:39;22.91;0.298987;29.00;
J1741-0840;17:41:22.5;-08:40:31.7;74.90;2.043082;29.00;
J1750-3503;17:50:44.5;-35:03:08.9;189.35;0.684014;29.00;
J1932+2020;19:32:08.0;+20:20:46;211.15;0.268217;29.00;
J2053-7200;20:53:47.2;-72:00:42.4;17.30;0.341336;29.00;
J0823+0159;08:23:09.7;+01:59:12.4;23.73;0.864873;30.00;
J1012+5307;10:12:33.4;+53:07:02.2;9.02;0.005256;30.00;
J1605-5257;16:05:16.2;-52:57:34.5;35.10;0.658013;30.00;
J1835-1106;18:35:18.4;-11:06:16.1;132.68;0.165918;30.00;
J1922+2110;19:22:53.5;+21:10:42;217.09;1.077924;30.00;
J0054+6946;00:54:59.1;+69:46:17;116.52;0.832911;30.50;
J0629+2415;06:29:05.7;+24:15:41.5;84.18;0.476623;31.00;
J1705-3423;17:05:42.3;-34:23:43.4;146.36;0.255427;31.00;
J1857+0943;18:57:36.3;+09:43:17.1;13.31;0.005362;31.00;
J1703-3241;17:03:22.5;-32:41:48;110.31;1.211785;32.00;
J1720-2933;17:20:34.1;-29:33:16;42.64;0.620448;32.00;
J2149+6329;21:49:58.7;+63:29:44.2;129.72;0.380140;32.00;
J0740+6620;07:40:45.7;+66:20:33.5;14.96;0.002886;32.50;
J0323+3944;03:23:26.6;+39:44:52.4;26.19;3.032072;34.00;
J1401-6357;14:01:52.5;-63:57:45.4;98.00;0.842805;34.00;
J1921+1948;19:21:03.7;+19:48:45;153.85;0.821035;34.00;
J2257+5909;22:57:57.7;+59:09:14.8;151.08;0.368246;34.00;
J0907-5157;09:07:15.9;-51:57:59.2;103.72;0.253558;35.00;
J1428-5530;14:28:26.2;-55:30:50.1;82.40;0.570292;35.00;
J1741-3927;17:41:18.0;-39:27:38.2;158.50;0.512212;35.00;
J1537+1155;15:37:09.9;+11:55:55.4;11.62;0.037904;36.00;
J1708-3426;17:08:57.7;-34:26:44;190.70;0.692113;36.00;
J1823-3106;18:23:46.7;-31:06:50;50.24;0.284054;36.00;
J1825-0935;18:25:30.5;-09:35:21.2;19.38;0.769021;36.00;
J2321+6024;23:21:55.2;+60:24:31;94.59;2.256488;36.00;
J0151-0635;01:51:22.7;-06:35:02.9;25.66;1.464665;38.00;
J1543-0620;15:43:30.1;-06:20:45.3;18.38;0.709064;40.00;
J1557-4258;15:57:00.2;-42:58:12.6;144.50;0.329187;40.00;
J1824-2452A;18:24:32.0;-24:52:10.8;119.89;0.003054;40.00;
J1946+1805;19:46:53.0;+18:05:41.2;16.14;0.440618;40.00;
J1034-3224;10:34:19.5;-32:24:26;50.75;1.150590;41.00;
J2330-2005;23:30:26.8;-20:05:29.6;8.46;1.643622;42.00;
J1730-2304;17:30:21.6;-23:04:31.1;9.62;0.008123;43.00;
J1917+1353;19:17:39.7;+13:53:57.0;94.54;0.194631;43.00;
J1604-4909;16:04:22.9;-49:09:57.9;140.80;0.327419;44.00;
J1056-6258;10:56:25.5;-62:58:47.6;320.30;0.422451;45.00;
J1602-5100;16:02:18.7;-51:00:06.1;170.79;0.864286;45.00;
J0358+5413;03:58:53.7;+54:13:13.7;57.14;0.156384;46.00;
J0809-4753;08:09:43.8;-47:53:54.7;228.30;0.547202;46.00;
J2145-0750;21:45:50.4;-07:50:18.5;9.00;0.016052;46.00;
J0218+4232;02:18:06.3;+42:32:17.3;61.25;0.002323;47.00;
J1709-1640;17:09:26.4;-16:40:57.7;24.89;0.653054;47.00;
J1224-6407;12:24:22.2;-64:07:53.8;97.69;0.216480;48.00;
J0141+6009;01:41:39.9;+60:09:32;34.93;1.222949;49.00;
J1909+1102;19:09:48.6;+11:02:03.3;149.98;0.283641;50.00;
J0034-0721;00:34:08.8;-07:21:53.4;10.92;0.942951;52.00;
J0922+0638;09:22:14.0;+06:38:23.3;27.30;0.430627;52.00;
J2002+4050;20:02:44.0;+40:50:53.9;131.49;0.905067;53.00;
J1607-0032;16:07:12.0;-00:32:41.5;10.68;0.421816;54.00;
J1836-1008;18:36:53.9;-10:08:08;316.98;0.562711;54.00;
J0942-5552;09:42:15.8;-55:52:52.3;180.20;0.664367;55.00;
J0528+2200;05:28:52.2;+22:00:04;50.87;3.745539;57.00;
J1921+2153;19:21:44.8;+21:53:02.2;12.44;1.337302;57.00;
J1903+0135;19:03:29.9;+01:35:38.5;245.17;0.729307;58.00;
J0454+5543;04:54:07.7;+55:43:41.4;14.59;0.340729;59.00;
J1722-3207;17:22:02.9;-32:07:45.3;126.06;0.477158;61.00;
J2043+7045;20:43;+70:45;57.00;0.588000;63.70;
J0820-4114;08:20:15.4;-41:14:35.3;113.40;0.545446;65.00;
J1807-0847;18:07:38.0;-08:47:43.2;112.38;0.163727;65.00;
J1745-3040;17:45:56.3;-30:40:22.9;88.37;0.367434;66.00;
J0302+2252;03:02:31.9;+22:52:12.1;18.99;1.207165;70.00;
J1534-5334;15:34:08.2;-53:34:19.6;24.82;1.368882;70.00;
J1751-4657;17:51:42.1;-46:57:26.5;20.40;0.742354;70.00;
J1824-1945;18:24:00.5;-19:46:03.3;224.38;0.189337;71.00;
J2022+2854;20:22:37.0;+28:54:23.1;24.63;0.343402;71.00;
J0826+2637;08:26:51.5;+26:37:21.2;19.48;0.530661;73.00;
J0536-7543;05:36:30.8;-75:43:54.8;18.58;1.245856;75.00;
J1022+1001;10:22:57.9;+10:01:52.7;10.25;0.016453;75.00;
J1643-1224;16:43:38.1;-12:24:58.6;62.41;0.004622;75.00;
J1847-0402;18:47:22.8;-04:02:14.4;141.98;0.597809;75.00;
J1834-0426;18:34:25.6;-04:26:16;79.31;0.290108;77.00;
J2022+5154;20:22:49.8;+51:54:50.2;22.55;0.529197;77.00;
J1543+0929;15:43:38.8;+09:29:16.3;34.98;0.748448;78.00;
J1829-1751;18:29:43.1;-17:51:04;217.11;0.307133;78.00;
J0814+7429;08:14:59.5;+74:29:05.7;5.75;1.292241;79.00;
J1848-0123;18:48:23.5;-01:23:58.3;159.53;0.659432;79.00;
J1001-5507;10:01:37.8;-55:07:08.6;130.32;1.436631;80.00;
J1057-5226;10:57:59.0;-52:26:56.3;29.69;0.197115;80.00;
J0452-1759;04:52:34.1;-17:59:23.3;39.90;0.548939;82.00;
J0837+0610;08:37:05.6;+06:10:14.5;12.86;1.273768;89.00;
J1833-0338;18:33:41.8;-03:39:04.2;234.54;0.686733;89.00;
J2313+4253;23:13:08.6;+42:53:13.0;17.28;0.349434;89.00;
J1651-4246;16:51:48.7;-42:46:09.4;482.00;0.844081;100.00;
J0820-1350;08:20:26.3;-13:50:55.8;40.94;1.238130;102.00;
J1359-6038;13:59:58.2;-60:38:07.5;293.74;0.127508;105.00;
J2157+4017;21:57:01.8;+40:17:45.9;71.12;1.525266;105.00;
J1239+2453;12:39:40.4;+24:53:49.2;9.25;1.382449;110.00;
J1243-6423;12:43:17.1;-64:23:23.7;297.25;0.388485;110.00;
J1559-4438;15:59:41.5;-44:38:45.9;56.10;0.257056;110.00;
J2219+4754;22:19:48.1;+47:54:53.9;43.50;0.538469;111.00;
J2238+6021;22:38;+60:21;182.00;3.070000;111.10;
J1509+5531;15:09:25.6;+55:31:32.3;19.62;0.739682;114.00;
J2048-1616;20:48:35.6;-16:16:44.5;11.46;1.961572;116.00;
J1913-0440;19:13:54.1;-04:40:47.6;89.39;0.825936;118.00;
J1326-5859;13:26:58.2;-58:59:29.2;287.30;0.477994;120.00;
J1430-6623;14:30:40.7;-66:23:05.5;65.30;0.785443;130.00;
