PSRJ;RAJ;DECJ;DM;P0;S400;
J1935+1745;19:35:29.9;+17:45:12.2;214.60;0.654408;1.30;
J2234+0611;22:34:23.0;+06:11:28.6;10.76;0.003577;1.30;
J0137+1654;01:37:23.8;+16:54:42.1;26.08;0.414763;1.40;
J0611+30;06:11:16;+30:16;45.26;1.412090;1.40;
J1320+67;13:20;+67:30;28.00;1.028620;1.40;
J1929+62;19:29;+62:16;67.70;1.456004;1.40;
J0417+61;04:17;+61:08;71.00;0.440283;1.50;
J0631+1036;06:31:27.5;+10:37:02.5;125.36;0.287800;1.50;
J0849+8028;08:49:01.5;+80:28:59;34.81;1.602228;1.50;
J1513-5908;15:13:55.8;-59:08:09.6;252.50;0.151582;1.50;
J1816+4510;18:16:35.9;+45:10:33.8;38.89;0.003193;1.50;
J1848+1516;18:48:56.1;+15:16:44.1;77.44;2.233770;1.50;
J1859+1526;18:59:44.3;+15:26:11.0;97.45;0.933972;1.50;
J1923+1706;19:23:07.8;+17:06:09.4;142.50;0.547209;1.50;
J1946+2611;19:46:45.8;+26:11:49.2;165.00;0.435060;1.50;
J2017+2043;20:17:28.9;+20:43:31.9;60.49;0.537143;1.50;
J2205+1444;22:05:17.2;+14:44:31.3;36.72;0.938014;1.50;
J2229+6114;22:29:05.2;+61:14:09.3;204.97;0.051624;1.50;
J2007+0910;20:07:58.1;+09:10:12.9;48.73;0.458735;1.51;
J0024-7204C;00:23:50.3;-72:04:31.5;24.60;0.005757;1.53;
J0613+3731;06:13:12.1;+37:31:38.3;18.99;0.619198;1.60;
J1110+58;11:11;+58:52;26.00;0.793348;1.60;
J1912+1036;19:12:46.3;+10:36:41.6;147.00;0.409349;1.60;
J1912+2525;19:12:18.6;+25:25:02.1;37.85;0.621976;1.60;
J1918+1444;19:18:23.6;+14:45:06;27.20;1.181023;1.60;
J2151+2315;21:51:28.9;+23:15:12.8;23.60;0.593534;1.60;
J1915+0752;19:15:01.9;+07:52:09.2;105.30;2.058314;1.70;
J1929+1844;19:29:16.7;+18:44:59.5;112.00;1.220470;1.70;
J1955+6708;19:55:38.7;+67:08:15.1;57.15;0.008565;1.70;
